sent_id,src_text,tgt_text,term_src,term_tgt,type,note
1,秦の始皇帝は紀元前259年の生まれ、13歳で即位し、22歳で政務をとり、39歳で天下を平定しました、50歳で亡くなりました。,秦始皇帝生于公元前259年，13岁即位，22岁执政，39岁平定天下，50岁病逝。,秦の始皇帝,秦始皇帝,cul,
1,秦の始皇帝は紀元前259年の生まれ、13歳で即位し、22歳で政務をとり、39歳で天下を平定しました、50歳で亡くなりました。,秦始皇帝生于公元前259年，13岁即位，22岁执政，39岁平定天下，50岁病逝。,紀元前259年,公元前259年,cul,
3,お墓を守るために兵馬俑をつくりました、,并且为了保护陵墓制作了兵马俑，,兵馬俑,兵马俑,cul,
5,皆さん日本の縄文末期弥生の初め頃にあたる、中国の遺跡をご覧になったことはあるでしょうか。,大家好，有没有看过相当于日本绳文时代末期和弥生时代初期的中国遗址呢。,縄文末期,绳文时代末期,cul,
5,皆さん日本の縄文末期弥生の初め頃にあたる、中国の遺跡をご覧になったことはあるでしょうか。,大家好，有没有看过相当于日本绳文时代末期和弥生时代初期的中国遗址呢。,弥生の初め頃,弥生时代初期,cul,
6,大体日本の静岡にある登呂遺跡より4500年前の遺跡を紹介します、兵馬俑博物館、,今天我带大家参观一处比日本静冈的登吕遗址还早四五百年的兵马俑博物馆，,登呂遺跡,登吕遗址,tour,
6,大体日本の静岡にある登呂遺跡より4500年前の遺跡を紹介します、兵馬俑博物館、,今天我带大家参观一处比日本静冈的登吕遗址还早四五百年的兵马俑博物馆，,兵馬俑博物館,兵马俑博物馆,tour,
8,ここは兵馬俑の1号館です、,这里就是兵马俑的一号馆，,兵馬俑の1号館,兵马俑的一号馆,tour,
9,"東西の長さは約230メートル、南北の幅は約65メートル、総面積は約14,260平方メートル。",东西长约230米，南北宽约65米，总面积约14260平方米。,総面積,总面积,term,
17,紀元前210年、秦の始皇帝が病気で亡くなりました、,公元前210年，秦始皇因病逝世。,紀元前210年,公元前210年,cul,
37,高級軍吏俑、一番位が高い兵馬俑、,高级军吏俑，地位最高的兵马俑。,高級軍吏俑,高级军吏俑,cul,
39,このワンセットは騎馬俑です、,这一组是骑马俑，,騎馬俑,骑马俑,cul,
41,立って矢を射る兵馬俑です、立射俑と言います。,站立射箭的兵马俑，被称为立射俑。,立射俑,立射俑,cul,
42,秦の始皇帝陵の敷地面積は約56.26平方キロメートル。,秦始皇陵园，占地面积大约56.26平方千米。,秦の始皇帝陵,秦始皇陵园,cul,
42,秦の始皇帝陵の敷地面積は約56.26平方キロメートル。,秦始皇陵园，占地面积大约56.26平方千米。,敷地面積,占地面积,term,
48,ここは華清池です。,这里是华清池。,華清池,华清池,tour,
52,驪山の海抜は1200メートル、遠くから見ると一匹黒い馬のような見えます、,骊山的海拔在1200米左右，从远处看像一匹黑色骏马，,驪山,骊山,tour,
55,だから歴代の王朝、周の幽王、秦の始皇帝、有名な玄宗皇帝もここで離宮や浴槽など作られたことがありました。,所以历代帝王，比如周幽王，秦始皇，包括最有名的唐玄宗，都在此建造行宫和温泉池。,周の幽王,周幽王,cul,
55,だから歴代の王朝、周の幽王、秦の始皇帝、有名な玄宗皇帝もここで離宮や浴槽など作られたことがありました。,所以历代帝王，比如周幽王，秦始皇，包括最有名的唐玄宗，都在此建造行宫和温泉池。,玄宗皇帝,唐玄宗,cul,
56,華清池は玄宗皇帝と美人の奥様楊貴妃のロマンスに繋がる所として名高いです、,华清池也是唐玄宗和美女杨贵妃 爱情罗曼史的发生地，,楊貴妃,杨贵妃,cul,
57,唐の時代有名な詩人白居易歌った《長恨歌》によって、,像唐代诗人白居易 《长恨歌》中所写的那样，,白居易,白居易,cul,
57,唐の時代有名な詩人白居易歌った《長恨歌》によって、,像唐代诗人白居易 《长恨歌》中所写的那样，,長恨歌,长恨歌,cul,
66,ここは華清池の御湯遺跡博物館です、,这里是华清宫御汤遗址博物馆，,華清池の御湯遺跡博物館,华清宫御汤遗址博物馆,tour,
