sent_id,src_text,tgt_text,term_src,term_tgt,type,note
1,秦の始皇帝は紀元前259年の生まれ、13歳で即位し、22歳で政務をとり、39歳で天下を平定しました、50歳で亡くなりました。,秦始皇帝生于公元前259年，13岁即位，22岁执政，39岁平定天下，50岁病逝。,秦の始皇帝,秦始皇帝,cul,
1,秦の始皇帝は紀元前259年の生まれ、13歳で即位し、22歳で政務をとり、39歳で天下を平定しました、50歳で亡くなりました。,秦始皇帝生于公元前259年，13岁即位，22岁执政，39岁平定天下，50岁病逝。,紀元前259年,公元前259年,term,
1,秦の始皇帝は紀元前259年の生まれ、13歳で即位し、22歳で政務をとり、39歳で天下を平定しました、50歳で亡くなりました。,秦始皇帝生于公元前259年，13岁即位，22岁执政，39岁平定天下，50岁病逝。,13歳で即位,13岁即位,term,
1,秦の始皇帝は紀元前259年の生まれ、13歳で即位し、22歳で政務をとり、39歳で天下を平定しました、50歳で亡くなりました。,秦始皇帝生于公元前259年，13岁即位，22岁执政，39岁平定天下，50岁病逝。,22歳で政務をとり,22岁执政,term,
1,秦の始皇帝は紀元前259年の生まれ、13歳で即位し、22歳で政務をとり、39歳で天下を平定しました、50歳で亡くなりました。,秦始皇帝生于公元前259年，13岁即位，22岁执政，39岁平定天下，50岁病逝。,39歳で天下を平定しました,39岁平定天下,term,
1,秦の始皇帝は紀元前259年の生まれ、13歳で即位し、22歳で政務をとり、39歳で天下を平定しました、50歳で亡くなりました。,秦始皇帝生于公元前259年，13岁即位，22岁执政，39岁平定天下，50岁病逝。,50歳で亡くなりました,50岁病逝,term,
2,この後にある一山は秦の始皇帝のお墓です、,后面的孤山就是他的陵墓，,お墓,陵墓,term,
3,お墓を守るために兵馬俑をつくりました、,并且为了保护陵墓制作了兵马俑，,兵馬俑,兵马俑,cul,
4,ここから東側に1.5キロ離れた場所に博物館があります。,兵马俑博物馆就在距此以东1.5公里的地方。,博物館,博物馆,tour,
4,ここから東側に1.5キロ離れた場所に博物館があります。,兵马俑博物馆就在距此以东1.5公里的地方。,東側,以东,term,
4,ここから東側に1.5キロ離れた場所に博物館があります。,兵马俑博物馆就在距此以东1.5公里的地方。,1.5キロ,1.5公里,term,
5,皆さん日本の縄文末期弥生の初め頃にあたる、中国の遺跡をご覧になったことはあるでしょうか。,大家好，有没有看过相当于日本绳文时代末期和弥生时代初期的中国遗址呢。,縄文末期,绳文时代末期,cul,
5,皆さん日本の縄文末期弥生の初め頃にあたる、中国の遺跡をご覧になったことはあるでしょうか。,大家好，有没有看过相当于日本绳文时代末期和弥生时代初期的中国遗址呢。,弥生の初め頃,弥生时代初期,cul,
5,皆さん日本の縄文末期弥生の初め頃にあたる、中国の遺跡をご覧になったことはあるでしょうか。,大家好，有没有看过相当于日本绳文时代末期和弥生时代初期的中国遗址呢。,中国の遺跡,中国遗址,tour,
6,大体日本の静岡にある登呂遺跡より4500年前の遺跡を紹介します、兵馬俑博物館、,今天我带大家参观一处比日本静冈的登吕遗址还早四五百年的兵马俑博物馆，,登呂遺跡,登吕遗址,tour,
6,大体日本の静岡にある登呂遺跡より4500年前の遺跡を紹介します、兵馬俑博物館、,今天我带大家参观一处比日本静冈的登吕遗址还早四五百年的兵马俑博物馆，,兵馬俑博物館,兵马俑博物馆,tour,
7,では2200年前に戻りましょう。,那么和我一起回到2000年前吧。,2200年前,2000年前,term,
8,ここは兵馬俑の1号館です、,这里就是兵马俑的一号馆，,兵馬俑の1号館,兵马俑的一号馆,tour,
9,"東西の長さは約230メートル、南北の幅は約65メートル、総面積は約14,260平方メートル。",东西长约230米，南北宽约65米，总面积约14260平方米。,総面積,总面积,term,
10,博物館の範囲は総面積の3分の1ぐらい、,发掘面积大约为总面积的三分之一左右，,博物館の範囲,发掘面积,term,
10,博物館の範囲は総面積の3分の1ぐらい、,发掘面积大约为总面积的三分之一左右，,総面積の3分の1,总面积的三分之一,term,
11,中から掘り出した兵馬俑の数は約2000体ぐらい。,从中间发掘的兵马俑数量大约为2000个。,数は約2000体ぐらい,数量大约为2000个,term,
12,同じ密度で計算して、,按照同一密度计算，,同じ密度,同一密度,term,
12,同じ密度で計算して、,按照同一密度计算，,計算して,计算,term,
13,1号館を全部掘ったら、,如果一号坑全部发掘，,1号館,一号坑,term,
14,中からおよそ6000体ぐらいの兵馬俑を出土することが可能です。,可能会出土兵马俑约6000个左右。,6000体,约6000个,term,
15,そしてみんな顔つきがそれぞれ違います、,而且每个兵马俑的面容都不相同，,顔つき,面容,term,
16,腰から上は空洞、腰から下に土を入れています。,腰部以上为空心，腰部以下为实心。,腰から上,腰部以上,term,
16,腰から上は空洞、腰から下に土を入れています。,腰部以上为空心，腰部以下为实心。,空洞,为空心,term,
16,腰から上は空洞、腰から下に土を入れています。,腰部以上为空心，腰部以下为实心。,腰から下,腰部以下,term,
16,腰から上は空洞、腰から下に土を入れています。,腰部以上为空心，腰部以下为实心。,土を入れています,为实心,term,需人工确认
