sent_id,src_text,tgt_text,term_src,term_tgt,type,note
6,大体日本の静岡にある登呂遺跡より4500年前の遺跡を紹介します、兵馬俑博物館、,今天我带大家参观一处比日本静冈的登吕遗址还早四五百年的兵马俑博物馆，,登呂遺跡,登吕遗址,tour,
6,大体日本の静岡にある登呂遺跡より4500年前の遺跡を紹介します、兵馬俑博物館、,今天我带大家参观一处比日本静冈的登吕遗址还早四五百年的兵马俑博物馆，,兵馬俑博物館,兵马俑博物馆,tour,
8,ここは兵馬俑の1号館です、,这里就是兵马俑的一号馆，,兵馬俑の1号館,兵马俑的一号馆,tour,
9,"東西の長さは約230メートル、南北の幅は約65メートル、総面積は約14,260平方メートル。",东西长约230米，南北宽约65米，总面积约14260平方米。,総面積,总面积,term,
17,紀元前210年、秦の始皇帝が病気で亡くなりました、,公元前210年，秦始皇因病逝世。,秦の始皇帝,秦始皇,cul,
17,紀元前210年、秦の始皇帝が病気で亡くなりました、,公元前210年，秦始皇因病逝世。,紀元前210年,公元前210年,cul,
41,立って矢を射る兵馬俑です、立射俑と言います。,站立射箭的兵马俑，被称为立射俑。,立射俑,立射俑,cul,
42,秦の始皇帝陵の敷地面積は約56.26平方キロメートル。,秦始皇陵园，占地面积大约56.26平方千米。,敷地面積,占地面积,term,
47,中国四大美人のひとり楊貴妃、ここでお風呂入ったことあります、,中国四大美女之一的杨贵妃，曾在此沐浴，,中国四大美人,中国四大美女,cul,
47,中国四大美人のひとり楊貴妃、ここでお風呂入ったことあります、,中国四大美女之一的杨贵妃，曾在此沐浴，,楊貴妃,杨贵妃,cul,
48,ここは華清池です。,这里是华清池。,華清池,华清池,tour,
53,昔黒い馬は「驪」といたので驪山と呼ばれるようになりました。,古代黑色骏马称之为骊，所以这座山叫骊山。,驪山,骊山,tour,
55,だから歴代の王朝、周の幽王、秦の始皇帝、有名な玄宗皇帝もここで離宮や浴槽など作られたことがありました。,所以历代帝王，比如周幽王，秦始皇，包括最有名的唐玄宗，都在此建造行宫和温泉池。,周の幽王,周幽王,cul,
55,だから歴代の王朝、周の幽王、秦の始皇帝、有名な玄宗皇帝もここで離宮や浴槽など作られたことがありました。,所以历代帝王，比如周幽王，秦始皇，包括最有名的唐玄宗，都在此建造行宫和温泉池。,玄宗皇帝,唐玄宗,cul,
57,唐の時代有名な詩人白居易歌った《長恨歌》によって、,像唐代诗人白居易 《长恨歌》中所写的那样，,唐の時代,唐代,cul,
57,唐の時代有名な詩人白居易歌った《長恨歌》によって、,像唐代诗人白居易 《长恨歌》中所写的那样，,白居易,白居易,cul,
57,唐の時代有名な詩人白居易歌った《長恨歌》によって、,像唐代诗人白居易 《长恨歌》中所写的那样，,長恨歌,长恨歌,cul,
66,ここは華清池の御湯遺跡博物館です、,这里是华清宫御汤遗址博物馆，,華清池の御湯遺跡博物館,华清宫御汤遗址博物馆,tour,
80,この4つの湯元の流水量が一時間当たり112トン、温度は43℃、,一个小时的流水量达到112吨，温度43度，,流水量,流水量,term,
